taxa_clean,taxonID,taxonRank,acceptedNameUsageID,taxonomicStatus,update_date,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName
Lysiloma watsonii,ITIS:503632,species,ITIS:503632,accepted,2012-12-21,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Lysiloma,watsonii,,littleleaf false tamarind
Sphagneticola trilobata,ITIS:565537,species,ITIS:565537,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Sphagneticola,trilobata,,Bay Biscayne creeping oxeye
Dasylirion longissimum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dietes bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Russelia equisetiformis,ITIS:34023,species,ITIS:34023,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Plantaginaceae,Russelia,equisetiformis,,fountainbush
Zauschneria californica,ITIS:523626,species,ITIS:524047,synonym,2011-12-08,NA,NA,NA,NA,NA,NA,,,hummingbird trumpet
Ficus carica,ITIS:19093,species,ITIS:19093,accepted,2011-08-30,Plantae,NA,Magnoliopsida,Rosales,Moraceae,Ficus,carica,,edible fig
Bryophyllum daigremontianum,ITIS:509800,species,ITIS:503269,synonym,2012-05-31,Plantae,NA,Magnoliopsida,Saxifragales,Crassulaceae,Kalanchoe,daigremontiana,,devils backbone
Chrysactinia mexicana,ITIS:37041,species,ITIS:37041,accepted,2010-10-05,Plantae,NA,Magnoliopsida,Asterales,Asteraceae,Chrysactinia,mexicana,,damianita
Olea europaea,ITIS:32990,species,ITIS:32990,accepted,2011-09-22,Plantae,NA,Magnoliopsida,Lamiales,Oleaceae,Olea,europaea,,olive
Acacia saligna,ITIS:182091,species,ITIS:182091,accepted,2011-06-29,Plantae,NA,Magnoliopsida,Fabales,Fabaceae,Acacia,saligna,,orange wattle
Encelia,ITIS:37306,genus,ITIS:37306,accepted,2010-10-05,NA,NA,NA,NA,NA,NA,,,brittlebush
Matelea,ITIS:30364,genus,ITIS:30364,accepted,2012-05-31,NA,NA,NA,NA,NA,NA,,,milkvine
Fraxinus,ITIS:32928,genus,ITIS:32928,accepted,2011-09-22,NA,NA,NA,NA,NA,NA,,,ash
Matelea producta,ITIS:30378,species,ITIS:30378,accepted,2012-05-31,Plantae,NA,Magnoliopsida,Gentianales,Apocynaceae,Matelea,producta,,Texas milkvine
Aristolochia watsonii,ITIS:18344,species,ITIS:18344,accepted,2012-06-27,Plantae,NA,Magnoliopsida,Piperales,Aristolochiaceae,Aristolochia,watsonii,,Watsons dutchmans pipe
